	latitude	longitude	radius	station	records
0	-78.5	-163.8	5.0	LITTLE AMERICA	207
1	-33.6	115.4667	5.0	LUDLOW	539
2	-32.5667	148.95	5.0	WELLINGTON	948
3	-30.5167	151.65	5.0	ARMIDALE	728
4	-30.0833	145.9667	5.0	BOURKE (S23'05'11'17)	130
5	-22.03	-63.68	5.0	YACUIBA	670
6	-17.38	-66.17	5.0	COCHABAMBA	1502
7	-14.45	-67.53	5.0	RURRENABAQUE	125
8	-13.55	32.583	5.0	CHIPATA	140
9	-10.82	-65.37	5.0	GUAYARAMERIN	618
10	-2.2	-81.0	5.0	CHINCHIPE	601
11	8.28	73.05	5.0	MALIKU	574
12	15.15	76.95	5.0	BELLARY	989
13	15.85	73.63	5.0	VENGURLA	121
14	17.7	-64.8	5.0	ST CROIX (BENEDICT FIELD)	346
15	18.9	72.82	5.0	COLABA	973
16	18.9167	-155.6833	5.0	MORSE FIELD	492
17	20.48	85.87	5.0	CUTTACK	318
18	20.57	74.53	5.0	MALEGAON	2563
19	21.47	83.98	5.0	SAMBALPUR	4315
20	22.25	91.82	5.0	CHATTAGRAM	1629
21	22.77	88.37	5.0	BARAKPUR	388
22	23.1	-82.43	5.0	VILLA SAN CRISTOBAL DE LA HABA	882
23	23.28	69.67	5.0	BHUJ	1679
24	24.83	92.85	5.0	SILCHAR	1477
25	25.05	73.88	5.0	KANKROLI/RAJSAMAND	1612
26	25.25	55.37	5.0	SHARJAH	2477
27	25.77	87.52	5.0	PURNEA	179
28	25.88	89.43	5.0	LALMANIR HAT	407
29	26.3667	-80.1	5.0	BOCA RATON (AAF)	1394
30	27.05	88.3	5.0	DARJEELING	116
31	27.5333	-99.4833	5.0	LAREDO	5690
32	27.7	68.92	5.0	SUKKUR	668
33	28.63	77.2	5.0	NEW DEHLI	2068
34	28.7667	-97.1167	5.0	VICTORIA (ALOE AAF)	198
35	30.5333	-91.15	5.0	BATON ROUGE (HARDING FIELD)	1485
36	31.4667	-109.6167	5.0	DOUGLAS (AAF)	1752
37	31.5167	-103.1333	5.0	PYOTE (AFB)	1395
38	32.2333	-101.5	5.0	BIG SPRING	13868
39	32.25	-107.7167	5.0	DEMING AAF	518
40	32.35	-88.65	5.0	MERIDIAN (KEY FIELD)	2282
41	32.5167	-92.05	5.0	MONROE (SELMAN FIELD)	2178
42	33.6	-114.75	5.0	BLYTHE	2084
43	33.6333	-88.45	5.0	COLUMBUS AAF	401
44	33.7167	-96.6667	5.0	SHERMAN PERRIN FIELD	1179
45	33.98	-98.5	5.0	WICHITA FALLS	113
46	34.05	-6.7667	5.0	RABAT	612
47	34.25	108.93	5.0	SIAN	196
48	34.3833	-103.3167	5.0	CLOVIS AAF	2127
49	35.9	-89.4	5.0	DYERSBURG AAF	821
50	35.9667	-83.9167	5.0	KNOXVILLE (ISLAND AIRPORT)	5122
51	36.0333	-102.5333	5.0	DALHART	2180
52	36.75	-104.5	5.0	RATON	5905
53	36.77	3.05	5.0	ALGER	2691
54	37.3333	-79.2	5.0	LYNCHBURG	4148
55	37.47	15.07	5.0	CATANIA	912
56	37.5333	-77.4167	5.0	RICHMOND CITY	13174
57	37.78	12.45	5.0	MARSALA	112
58	38.2333	-104.6333	5.0	PUEBLO	11332
59	38.72	-9.15	5.0	LISBOA/GEOFISICO	669
60	38.7333	-93.5667	5.0	KNOBNOSTER SEDALIA AFB	1436
61	38.7667	-87.6167	5.0	LAWRENCEVILLE GEORGE FIELD	1385
62	38.8833	-79.85	5.0	ELKINS	10236
63	38.9	-99.1167	5.0	VICTORIA (WALKER AAF)	1289
64	38.95	-95.6667	5.0	TOPEKA (FORBES AFB)	1930
65	39.7167	-104.9	5.0	DENVER (LOWRY FIELD)	878
66	39.8333	-89.6667	5.0	SPRINGFIELD	11873
67	39.9	116.47	5.0	PEIPING	701
68	40.5167	-122.3	5.0	REDDING (AAF)	109
69	41.0333	-81.4833	5.0	AKRON	11543
70	41.1167	-111.9667	5.0	OGDEN (HILL AFB)	362
71	41.5	-88.1667	5.0	JOLIET	7402
72	41.6	-109.0667	5.0	ROCK SPRINGS	20297
73	42.1	-102.8333	5.0	ALLIANCE AAF	611
74	42.2333	-83.5333	5.0	YPSILANTI	1210
75	42.5833	-100.0	5.0	AINSWORTH AAF	1523
76	42.9167	-112.5333	5.0	POCATELLO	11754
77	42.9167	-106.3333	5.0	CASPER WYO	10206
78	42.95	-87.9	5.0	MILWAUKEE WI AIRPORT	11003
79	43.5833	-119.05	5.0	BURNS	7351
80	43.9333	-91.2833	5.0	LA CROSSE	9613
81	44.2667	-71.3	5.0	MOUNT WASHINGTON	506
82	44.62	33.53	5.0	SEWASTOPOL	723
83	45.0667	-83.4333	5.0	ALPENA	9221
84	45.9667	-112.5	5.0	BUTTE	12098
85	46.5667	-87.4	5.0	MARQUETTE	8748
86	47.0	-15.0	5.0	WEATHERSHIP K CIRRUS	477
87	47.6667	-117.3333	5.0	SPOKANE (FELTS FIELD)	7917
88	48.02	7.83	5.0	FREIBURG	1516
89	48.15	-103.5833	5.0	WILLISTON	6342
90	48.95	-97.25	5.0	PEMBINA	2575
91	49.6	34.55	5.0	POLTAVA	634
92	49.75	6.98	5.0	TRIER	220
93	50.28	-64.17	5.0	MINGAN	632
94	51.02	11.03	5.0	ERFURT	465
95	51.9833	177.5667	5.0	KISKA ISLAND	308
96	53.38	-167.9	5.0	UMNAK ISLAND	2799
97	54.62	-113.33	5.0	MEANOOK	101
98	55.35	-131.65	5.0	KETCHIKAN	5932
99	56.8	60.6	5.0	SWERDLOWSK	171
100	59.68	30.45	5.0	SLUTSK	186
101	59.78	21.37	5.0	UTO	674
102	59.97	11.03	5.0	KJELLER	1688
103	60.2	-166.1	5.0	NUNIVAK AAF	100
104	60.38	5.33	5.0	BERGEN	179
105	60.4833	-145.5	5.0	CORDOVA	2276
106	61.08	-69.55	5.0	CAPE HOPES ADVANCE STATION	661
107	61.25	-149.8	5.0	ANCHORAGE ELMENDORF FIELD	223
108	62.1167	-163.75	5.0	MOUNTAIN VILLAGE	147
109	63.12	23.08	5.0	KAUHAVA	611
110	63.32	30.5	5.0	LIEKSA	148
111	63.3333	-149.15	5.0	SUMMIT	2843
112	63.43	-51.18	5.0	MARRAK POINT	353
113	63.5	-90.7	5.0	CHESTERFIELD INLET	472
114	63.9	-160.7833	5.0	UNALAKLEET	1191
115	64.7167	-156.9	5.0	GALENA	571
116	65.6167	-168.05	5.0	WALES	863
117	65.93	-36.68	5.0	IKATEQ	111
118	67.0	-50.8	5.0	KANGERLUSSUAK	3155
119	68.35	-166.7833	5.0	POINT HOPE	425
120	68.47	17.5	5.0	NARVIK	128
121	69.3667	-152.1333	5.0	UMIAT	611
122	71.17	-24.4	5.0	OSTSTATION	106
123	77.72	104.28	5.0	MYS CHELIUSKINA	657
124	18.13335	-66.81665000000001	5.6	PONCE LOSEY FIELD,MAYAGUEZ	4877
125	21.457852830188678	-157.73334905660377	5.9	KAHUKU AAB,MOLOKAI HOMESTEAD FIELD,HONOLULU HICKAM FIELD	4717
126	26.31665	-98.00835	5.6	HARLINGEN AAF,MISSION (MOORE FIELD)	4450
127	29.1	-100.7	5.6	EAGLE PASS (AAF),DEL RIO TEXAS	18396
128	29.63488113207547	-89.42391509433962	5.9	BURRWOOD,NEW ORLEANS (AAB),BILOXI (KEESLER AFB)	3908
129	29.825777358490566	-98.0408962264151	5.9	AUSTIN (BERGSTROM FIELD),SAN ANTONIO FORT SAM HOUSTON,SAN ANTONIO RANDOLPH AFB	2349
130	31.116650000000003	-92.83335	5.6	DE RIDDER (AFB),ALEXANDRIA (ESLER FIELD)	2281
131	30.945281132075472	-88.6688679245283	5.9	HATTIESBURG,MOBILE (BROOKLEY AFB),MOBILE	12823
132	32.183299999999996	-97.01669999999999	5.6	WACO (JAMES CONNALLY AFB),DALLAS HENSLEY FIELD	1049
133	32.4667	-80.8833	5.6	SAVANNAH HUNTER AFB,WALTERBORO AAF	2472
134	32.875	-104.39165	5.6	CARLSBAD AAF,ROSWELL	13175
135	32.975	-93.83335	5.6	SHREVEPORT BARKSDALE AFB,TEXARKANA	15199
136	32.43396226415094	-86.21573018867925	5.9	TUSKEGEE (AAF),SELMA CRAIG AFB,MONTGOMERY (GUNTER FIELD)	3914
137	32.88804150943397	-90.33424339622641	5.9	GREENWOOD AAF,JACKSON (AAB),VICKSBURG	6131
138	34.01131886792453	-78.20377358490566	5.9	WILMINGTON (NEW HANOVER AP),MYRTLE BEACH AAF,OAK ISLAND	4685
139	39.90835	-82.90830000000001	5.6	COLUMBUS LOCKBOURNE AFB,COLUMBUS	20915
140	40.516650000000006	-73.9917	5.6	SPRING LAKE BELMAR,NEW YORK UNIVERSITY	1422
141	40.94275849056604	-78.02580188679245	5.9	KYLERTOWN,PHILIPSBURG,BELLEFONTE	17876
142	42.56919811320754	-76.38995283018869	5.9	SYRACUSE,BINGHAMTON,ELMIRA	22902
143	46.87042452830188	-119.8299075471698	5.9	ELLENSBURG,PASCO,MOSES LAKE (LARSON AFB)	15723
144	47.81193396226415	-122.87075283018869	5.9	PORT ANGELES,TACOMA (MCCHORD AFB),EVERETT (PAINE FIELD)	4095
